Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
120,iTransformer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.950 ± 0.334,1.140 ± 0.330,0.411 ± 0.238,2.89 ± 1.85
120,ValidationSelected,Two-stage CBF-validation,TwoStage_CBF_AirT_PAR_ValidationSelected,5,0.937 ± 0.152,1.148 ± 0.199,0.412 ± 0.087,0.19 ± 0.15
120,TimeMixer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.972 ± 0.217,1.149 ± 0.206,0.401 ± 0.149,2.33 ± 2.06
120,RF,AR-only,AR_only,5,0.915 ± 0.100,1.151 ± 0.123,0.404 ± 0.051,0.25 ± 0.01
120,XGBoost,AR-only,AR_only,5,0.928 ± 0.093,1.165 ± 0.117,0.390 ± 0.050,0.09 ± 0.00
120,iTransformer,AR-only,AR_only,5,0.937 ± 0.119,1.166 ± 0.143,0.392 ± 0.026,4.33 ± 1.38
120,Ridge,AR-PAR,AR_PAR,5,0.979 ± 0.149,1.174 ± 0.150,0.373 ± 0.140,0.00 ± 0.00
120,Ridge,AR-only,AR_only,5,0.968 ± 0.107,1.189 ± 0.123,0.364 ± 0.057,0.00 ± 0.00
120,RF,AR-AirT,AR_AirT,5,1.006 ± 0.208,1.233 ± 0.232,0.315 ± 0.174,0.27 ± 0.02
120,XGBoost,AR-AirT,AR_AirT,5,1.020 ± 0.235,1.255 ± 0.283,0.289 ± 0.222,0.09 ± 0.00
120,XGBoost,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.959 ± 0.238,1.272 ± 0.407,0.270 ± 0.312,0.12 ± 0.05
120,RF,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.993 ± 0.223,1.291 ± 0.334,0.250 ± 0.244,0.29 ± 0.02
120,XGBoost,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,1.000 ± 0.343,1.319 ± 0.533,0.193 ± 0.483,0.10 ± 0.00
