fold,feature_set,model,horizon_steps,horizon_minutes,n,p,n_train,n_val,n_test,runtime_s,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,feature_display_name,main_manuscript_configuration
fold_3,AR_only,Ridge,12,120,11440,3,7408,1008,1008,0.0,1.1141675767962873,1.5331374607230037,0.5299498046891349,0.8452286826322843,1.0741243922461672,0.4422056571507744,1.128344172947978,1.3978633347952394,0.3803387013573749,AR-only,True
fold_4,AR_only,Ridge,12,120,11440,3,6400,1008,1008,0.0,1.1593069421519373,1.5946198182038844,0.5207673039160181,0.8522282300977176,1.0706424776483319,0.43476025110929817,0.8583840890282797,1.090160321775336,0.4254263710824787,AR-only,True
fold_5,AR_only,Ridge,12,120,11440,3,5392,1008,1008,0.0009999275207519531,1.2220461873690147,1.6648377676618484,0.4821685321391844,0.8925121994603552,1.1792038978424229,0.4403039348893204,0.8917483681154158,1.1098510187551127,0.392602325456362,AR-only,True
fold_1,AR_only,TimeMixer,12,120,11440,3,9424,1008,1008,2.920323133468628,1.0385481679396265,1.4570757414913067,0.5812520931679355,0.8089439403443109,1.013579796868103,0.5171668119751509,0.8627166829033501,1.0151026188054895,0.45376325871015477,AR-only,True
fold_2,AR_only,TimeMixer,12,120,11440,3,8416,1008,1008,4.605391979217529,1.039718990003662,1.4658409851395817,0.5495775300846999,1.0211668298358008,1.2899506158360403,0.4723194170090367,0.8562915588560558,1.0744717833248074,0.45741066482320203,AR-only,True
fold_3,AR_only,TimeMixer,12,120,11440,3,7408,1008,1008,2.1385538578033447,1.0811757502459391,1.5257293781123697,0.534481371995188,0.8202683479066879,1.0529277846372584,0.46400329589989997,1.0339458584407017,1.3091577617637131,0.4564882777039555,AR-only,True
fold_4,AR_only,TimeMixer,12,120,11440,3,6400,1008,1008,3.910630702972412,1.121553144275412,1.577168244746692,0.5311993831247622,0.8045345601329097,1.0317235254867811,0.4751074341787692,0.8093846685924228,1.0444787907166764,0.4725707654584437,AR-only,True
fold_5,AR_only,TimeMixer,12,120,11440,3,5392,1008,1008,0.8215200901031494,1.256873673469925,1.7119822113397176,0.45242565184055605,0.8620896358071273,1.1703369651657336,0.4486894714189943,0.8945300838934682,1.1244468742383056,0.3765212760791312,AR-only,True
fold_1,AR_only,XGBoost,12,120,11440,3,9424,1008,1008,0.0925130844116211,0.9235511318463573,1.2896081702847177,0.6719772649274262,0.8491517075281293,1.083780373967201,0.4479685921439722,0.9073826702814253,1.1000783158546739,0.35848292463691744,AR-only,True
fold_2,AR_only,XGBoost,12,120,11440,3,8416,1008,1008,0.0875089168548584,0.9281827244641548,1.2991866954271194,0.6461742338901926,1.070187520980835,1.3389529335896955,0.4314671444927882,0.922209375850738,1.1666924195758144,0.3602740387797194,AR-only,True
fold_3,AR_only,XGBoost,12,120,11440,3,7408,1008,1008,0.0971059799194336,0.9502401484764994,1.3298719958180005,0.646327144826636,0.7951991807846795,1.0206895935264115,0.4963227663677664,1.078199866915506,1.3566693956819766,0.41632243350587095,AR-only,True
fold_4,AR_only,XGBoost,12,120,11440,3,6400,1008,1008,0.08957076072692871,0.9717530260707433,1.362797555190994,0.649978422685068,0.863258309944597,1.0786848975672096,0.4262364546584445,0.8231110058133564,1.0505635099597312,0.46640767861365184,AR-only,True
fold_5,AR_only,XGBoost,12,120,11440,3,5392,1008,1008,0.09450650215148926,1.008431077343831,1.4070629038831954,0.6301108212477529,0.9021924436256794,1.1888521509472285,0.431107593037348,0.9106738388307091,1.1493477703765373,0.34860162599853417,AR-only,True
fold_1,AR_only,iTransformer,12,120,11440,3,9424,1008,1008,5.285098314285278,1.1340471979689528,1.5215470401375375,0.5433755514993428,0.8627944385437737,1.0786255150284774,0.45320743322185586,0.9213274369921003,1.088680391245438,0.3717075896198021,AR-only,True
fold_2,AR_only,iTransformer,12,120,11440,3,8416,1008,1008,3.801342248916626,1.093153952447602,1.5223075049166834,0.5142071665580468,1.0794323694138297,1.3627510260555293,0.4110777254155197,0.8775612300539772,1.1083119606057577,0.4226950737834241,AR-only,True
fold_3,AR_only,iTransformer,12,120,11440,3,7408,1008,1008,5.794847249984741,1.1318315231452094,1.5577446398272894,0.5147399061632737,0.8693133342833747,1.100560208163714,0.41441147205601736,1.1445636705368283,1.4208341192499883,0.3598058513205401,AR-only,True
fold_4,AR_only,iTransformer,12,120,11440,3,6400,1008,1008,2.2777175903320312,1.1729565644404911,1.6351278497081465,0.49611021175920467,0.8472839380950524,1.0928760911679845,0.4110402648037056,0.8851444606175497,1.1157167061512863,0.3981714043296535,AR-only,True
fold_5,AR_only,iTransformer,12,120,11440,3,5392,1008,1008,4.505359649658203,1.2271690967492355,1.698635033614493,0.4609305090469932,0.8029679788897378,1.1236793078032183,0.4917712739038903,0.8544972319577736,1.0963834083633013,0.40725395590527047,AR-only,True
fold_1,TwoStage_CBF_AirT_PAR,PatchTST,12,120,11440,5,9424,1008,1008,2.714167356491089,1.000659214374302,1.3792773201683526,0.6247751577544429,0.628942676120334,0.7797432948011993,0.7142511304292727,0.7705892694564092,0.9006690480729016,0.5699771940401381,Two-stage CBF,True
