fold,feature_set,model,horizon_steps,horizon_minutes,stageA_AirT_MAE,stageA_PAR_MAE,stageB_LeafT_MAE,amplification_ratio_vs_10min,feature_display_name
fold_4,TwoStage_CBF_AirT_PAR_Residual,PatchTST,1,10,0.33521522933899633,23.091999480132834,0.23441318602789013,0.9131434569797738,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,PatchTST,1,10,0.3074566175712704,30.107125991746496,0.32498868997765584,1.265975267322276,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,PatchTST,3,30,0.4715357942658052,23.14840365565132,0.2472818321651882,0.9632725483486513,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,PatchTST,3,30,0.40886311130297937,23.553886641625468,0.39575563218858506,1.5416439331740655,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,PatchTST,3,30,0.4962894967444617,28.98607265465326,0.5572449257260277,2.170716445112267,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,PatchTST,3,30,0.5154868350389513,34.598476562038556,0.38877062139056967,1.5144342142362326,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,PatchTST,3,30,0.4866111148098333,41.55315356999716,0.4522476755878912,1.7617055290066321,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,PatchTST,6,60,0.6862743218609856,33.2540794449546,0.33974240598224464,1.323447542939592,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,PatchTST,6,60,0.6248067117825653,34.49001252560068,0.7031972288706945,2.739265479857369,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,PatchTST,6,60,0.7258128996562041,42.30058857249289,0.8670339827310469,3.3774823922054082,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,PatchTST,6,60,0.6971582588834994,47.48040780628376,0.40547589763762454,1.5795086836401118,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,PatchTST,6,60,0.6794129891367675,53.896339459323045,0.49985918547110586,1.9471735031572526,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,PatchTST,12,120,1.05321483496252,46.90398835596137,0.5936202560152327,2.3124145100202447,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,PatchTST,12,120,0.9701148087452965,47.85578930160777,0.7616276218777611,2.9668778081877876,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,PatchTST,12,120,1.1266044444142242,56.646190095343606,1.177768500948709,4.5879313305789555,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,PatchTST,12,120,0.9716516722704003,62.08542086174676,0.6955829736921522,2.7096045746247044,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,PatchTST,12,120,0.947551542679883,68.98909974508489,0.7914454784090558,3.083031600788319,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,RF,1,10,0.29560394639381654,15.337720013102375,0.18778799991440792,0.5864251522061976,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,RF,1,10,0.24564242451146923,15.622660524619198,0.38484096500691345,1.2017829764533534,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,RF,1,10,0.293777371584017,18.576619840307405,0.4897740690831069,1.529468513108506,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,RF,1,10,0.33521522933899633,23.091999480132834,0.2946599179630349,0.920165225250268,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,RF,1,10,0.3074566175712704,30.107125991746496,0.24406209534614734,0.7621581329816745,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,RF,3,30,0.4715357942658052,23.14840365565132,0.30080981157877995,0.9393701387767392,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,RF,3,30,0.40886311130297937,23.553886641625468,0.6475192355532623,2.022075779276824,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,RF,3,30,0.4962894967444617,28.98607265465326,0.8390902444585565,2.6203145277952946,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,RF,3,30,0.5154868350389513,34.598476562038556,0.4263865430031337,1.3315216813281725,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,RF,3,30,0.4866111148098333,41.55315356999716,0.38274850534103344,1.195248634649786,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,RF,6,60,0.6862743218609856,33.2540794449546,0.5014887704643145,1.5660512316190391,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,RF,6,60,0.6248067117825653,34.49001252560068,1.048469758144497,3.2741657495884966,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,RF,6,60,0.7258128996562041,42.30058857249289,1.3245780228083481,4.136397794259552,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,RF,6,60,0.6971582588834994,47.48040780628376,0.5596704340077129,1.7477411740786128,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,RF,6,60,0.6794129891367675,53.896339459323045,0.5604698649000122,1.7502376402154725,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,RF,12,120,1.05321483496252,46.90398835596137,0.8233649096509463,2.571207386432431,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,RF,12,120,0.9701148087452965,47.85578930160777,1.214562947864024,3.792842257704463,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,RF,12,120,1.1266044444142242,56.646190095343606,1.4867350121515506,4.642782319363546,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,RF,12,120,0.9716516722704003,62.08542086174676,0.7151321137351102,2.233217558288057,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,RF,12,120,0.947551542679883,68.98909974508489,0.9266457409553843,2.8937331987595942,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,Ridge,1,10,0.29560394639381654,15.337720013102375,0.23756664087960183,1.0682974044242344,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,Ridge,1,10,0.24564242451146923,15.622660524619198,0.22442222905220477,1.009189185417139,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,Ridge,1,10,0.293777371584017,18.576619840307405,0.26449513544664977,1.1893903354204207,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,Ridge,1,10,0.33521522933899633,23.091999480132834,0.19558173748312593,0.8794983240592917,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,Ridge,1,10,0.3074566175712704,30.107125991746496,0.18982800458995203,0.8536247506789149,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,Ridge,3,30,0.4715357942658052,23.14840365565132,0.39729859515427085,1.7865852563020574,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,Ridge,3,30,0.40886311130297937,23.553886641625468,0.3547225133918947,1.5951277458161826,Two-stage CBF-residual
fold_3,TwoStage_CBF_AirT_PAR_Residual,Ridge,3,30,0.4962894967444617,28.98607265465326,0.39687884365700105,1.784697704104593,Two-stage CBF-residual
fold_4,TwoStage_CBF_AirT_PAR_Residual,Ridge,3,30,0.5154868350389513,34.598476562038556,0.3064696619596418,1.3781427526779053,Two-stage CBF-residual
fold_5,TwoStage_CBF_AirT_PAR_Residual,Ridge,3,30,0.4866111148098333,41.55315356999716,0.34158746489467756,1.536061632137053,Two-stage CBF-residual
fold_1,TwoStage_CBF_AirT_PAR_Residual,Ridge,6,60,0.6862743218609856,33.2540794449546,0.592107019807223,2.6626061220522876,Two-stage CBF-residual
fold_2,TwoStage_CBF_AirT_PAR_Residual,Ridge,6,60,0.6248067117825653,34.49001252560068,0.5322086295335179,2.3932530907442486,Two-stage CBF-residual
