time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-11-16 23:50:00,0.8629244055066039,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:00:00,0.8277943305570084,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:10:00,0.7736041880994904,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:20:00,0.58933678555832,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:30:00,0.6917771207571519,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:40:00,0.6756398859478878,noise_5,0.0,0.0,0.0,0.0
2024-11-17 00:50:00,1.1281103221683004,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:00:00,1.3445988795056643,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:10:00,1.708060649134886,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:20:00,1.592678596576814,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:30:00,1.8881586771874588,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:40:00,1.8340378099809094,noise_5,0.0,0.0,0.0,0.0
2024-11-17 01:50:00,1.964504716070408,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:00:00,2.1414312248947915,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:10:00,1.6645789410222704,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:20:00,1.4743876158914375,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:30:00,1.7974892847445112,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:40:00,1.8382737598578736,noise_5,0.0,0.0,0.0,0.0
2024-11-17 02:50:00,2.120209725779368,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:00:00,1.7947165776300338,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:10:00,1.8492283371438099,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:20:00,2.1192902331757963,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:30:00,2.059699217741322,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:40:00,1.856954678665673,noise_5,0.0,0.0,0.0,0.0
2024-11-17 03:50:00,2.0406882842084073,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:00:00,2.0318494051992815,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:10:00,2.0983816156850743,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:20:00,2.0749749462674423,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:30:00,2.117512435321917,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:40:00,2.057030542974818,noise_5,0.0,0.0,0.0,0.0
2024-11-17 04:50:00,2.449677117923841,noise_5,0.0,0.0,0.0,0.0
2024-11-17 05:00:00,2.524067594210731,noise_5,0.0,0.0,0.0,0.0
2024-11-17 05:10:00,2.7865189916578323,noise_5,0.0,0.0,0.0,0.0
2024-11-17 05:20:00,2.3104072567060285,noise_5,0.0,0.0,0.0,0.0
2024-11-17 05:30:00,2.4310990563304387,noise_5,0.0,0.0,0.0,1.0
2024-11-17 05:40:00,1.9466643495949825,noise_5,0.0,0.0,0.0,1.0
2024-11-17 05:50:00,1.9616404146998576,noise_5,0.0,0.0,0.0,0.0
2024-11-17 06:00:00,2.0592785556408515,noise_5,0.0,0.0,0.0,0.0
2024-11-17 06:10:00,1.9180544728629059,noise_5,0.0,0.0,0.0,0.0
2024-11-17 06:20:00,1.7984556807506777,noise_5,0.0,0.0,0.0,0.0
2024-11-17 06:30:00,1.8393644314199378,noise_5,0.0,0.0,1.0,0.0
2024-11-17 06:40:00,1.9457367107042174,noise_5,0.0,0.0,1.0,0.0
2024-11-17 06:50:00,1.640662748828131,noise_5,0.0,0.0,0.0,0.0
2024-11-17 07:00:00,2.105340230285801,noise_5,0.0,1.0,0.0,0.0
2024-11-17 07:10:00,2.23831635370977,noise_5,0.0,1.0,0.0,0.0
2024-11-17 07:20:00,3.2493169703956646,noise_5,1.0,0.0,0.0,0.0
2024-11-17 07:30:00,3.567988600169862,noise_5,1.0,0.0,0.0,0.0
2024-11-17 07:40:00,3.667364207742626,noise_5,0.0,0.0,0.0,0.0
2024-11-17 07:50:00,3.024465302153885,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:00:00,2.7836061162837495,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:10:00,2.8528040981918927,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:20:00,1.7588968024887812,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:30:00,1.4715672271383191,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:40:00,1.3599850400802822,noise_5,0.0,0.0,0.0,0.0
2024-11-17 08:50:00,0.74520808290114,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:00:00,0.9427538078778461,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:10:00,0.44395468658209936,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:20:00,0.5073522493184264,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:30:00,0.6608216220672247,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:40:00,0.38056620279638054,noise_5,0.0,0.0,0.0,0.0
2024-11-17 09:50:00,0.2130538529257464,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:00:00,0.2106935344680707,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:10:00,0.42767211972098096,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:20:00,0.4736599501086154,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:30:00,-0.5228801426923013,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:40:00,-1.0019797787560343,noise_5,0.0,0.0,0.0,0.0
2024-11-17 10:50:00,-0.19823456914254933,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:00:00,-0.5325271831467404,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:10:00,-0.19763287719634803,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:20:00,-0.7508547808382389,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:30:00,-1.0326109532798604,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:40:00,0.23983468350631654,noise_5,0.0,0.0,0.0,0.0
2024-11-17 11:50:00,1.0498405102602142,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:00:00,0.5380098380851983,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:10:00,-0.16562420431029778,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:20:00,0.4344975276648171,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:30:00,1.3252916218281925,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:40:00,0.22908313268404257,noise_5,0.0,0.0,0.0,0.0
2024-11-17 12:50:00,0.9228042371002267,noise_5,0.0,0.0,0.0,0.0
