target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
substrate_relative_permittivity_mean,fine,28,72,5,5,201.9674922999693,0.03727712816164259,0.005836575194821561,0.1338948843955941,0.12340372614672541,0.9200846746943052,5
substrate_relative_permittivity_mean,fine,29,72,5,5,206.162954099942,0.03727746077326273,0.0058364656685652655,0.13389479180206634,0.12340371560464056,0.9200847981739676,5
substrate_relative_permittivity_mean,fine,30,72,5,5,228.9839802000206,0.03746334753769996,0.00587800572848804,0.13382154095085555,0.12364198641547033,0.9202271421844085,5
substrate_relative_permittivity_mean,fine,31,72,5,5,227.47531919996254,0.03746427935272589,0.005877924776917004,0.13382132946693523,0.12364214173706342,0.920227456672662,5
substrate_relative_permittivity_mean,fine,32,72,5,5,215.4332564000506,0.03746503603225556,0.0058773687434737825,0.13382110900192828,0.12364226970027788,0.9202277651583234,5
substrate_relative_permittivity_mean,fine,33,72,5,5,240.74646739999298,0.03746575115456121,0.005877062520066596,0.1338208804828004,0.12364241410783323,0.9202281084150739,5
substrate_relative_permittivity_mean,fine,34,72,5,5,252.06402449996676,0.03746649713554229,0.0058773116722319095,0.13382078503374156,0.12364267849743758,0.9202282730109088,5
substrate_relative_permittivity_mean,fine,35,72,10,10,261.0748191999737,0.037906267994363606,0.005815848498854154,0.13406575823919423,0.12401665904602348,0.9199613523296563,5
substrate_relative_permittivity_mean,fine,36,72,8,8,251.06237600010354,0.037242529987320645,0.005870155715970211,0.13393468213886076,0.12421597832975834,0.9201669780502411,5
substrate_bulk_ec_mean,coarse,72,72,9,9,545.2551341999788,0.024606744025009487,0.0033676931664190658,0.08538838987131166,0.05367144416156867,0.9170862297103085,5
